request_type,response_time,pattern
normal,120,baseline
normal,86,baseline
normal,55,baseline
normal,93,baseline
normal,75,baseline
normal,77,baseline
normal,88,baseline
normal,116,baseline
normal,101,baseline
normal,67,baseline
normal,120,baseline
normal,108,baseline
normal,89,baseline
normal,123,baseline
normal,72,baseline
normal,117,baseline
normal,94,baseline
normal,134,baseline
normal,73,baseline
normal,90,baseline
normal,126,baseline
normal,78,baseline
normal,106,baseline
normal,137,baseline
normal,78,baseline
normal,109,baseline
normal,93,baseline
normal,108,baseline
normal,93,baseline
normal,89,baseline
normal,98,baseline
normal,56,baseline
normal,103,baseline
normal,98,baseline
normal,105,baseline
normal,108,baseline
normal,115,baseline
normal,124,baseline
normal,109,baseline
normal,113,baseline
normal,110,baseline
normal,139,baseline
normal,103,baseline
normal,114,baseline
normal,87,baseline
normal,91,baseline
normal,90,baseline
normal,120,baseline
normal,89,baseline
normal,73,baseline
normal,86,baseline
normal,156,baseline
normal,90,baseline
normal,108,baseline
normal,108,baseline
normal,94,baseline
normal,70,baseline
normal,120,baseline
normal,87,baseline
normal,106,baseline
normal,95,baseline
normal,122,baseline
normal,96,baseline
normal,82,baseline
normal,56,baseline
normal,113,baseline
normal,97,baseline
normal,114,baseline
normal,48,baseline
normal,110,baseline
normal,69,baseline
normal,100,baseline
normal,116,baseline
normal,61,baseline
normal,104,baseline
normal,113,baseline
normal,63,baseline
normal,98,baseline
normal,66,baseline
normal,103,baseline
normal,40,baseline
normal,80,baseline
normal,94,baseline
normal,56,baseline
normal,109,baseline
normal,60,baseline
normal,101,baseline
normal,91,baseline
normal,109,baseline
normal,126,baseline
normal,129,baseline
normal,103,baseline
normal,54,baseline
normal,73,baseline
normal,76,baseline
normal,77,baseline
normal,124,baseline
normal,89,baseline
normal,85,baseline
normal,81,baseline
normal,81,baseline
normal,110,baseline
normal,93,baseline
normal,129,baseline
normal,112,baseline
normal,62,baseline
normal,97,baseline
normal,79,baseline
normal,94,baseline
normal,103,baseline
normal,92,baseline
normal,125,baseline
normal,77,baseline
normal,90,baseline
normal,119,baseline
normal,86,baseline
normal,82,baseline
normal,81,baseline
normal,96,baseline
normal,61,baseline
normal,91,baseline
normal,84,baseline
normal,100,baseline
normal,84,baseline
normal,102,baseline
normal,91,baseline
normal,88,baseline
normal,90,baseline
normal,63,baseline
normal,99,baseline
normal,96,baseline
normal,102,baseline
normal,98,baseline
normal,48,baseline
normal,118,baseline
normal,105,baseline
normal,89,baseline
normal,109,baseline
normal,94,baseline
normal,122,baseline
normal,93,baseline
normal,83,baseline
normal,134,baseline
normal,84,baseline
normal,113,baseline
normal,113,baseline
normal,89,baseline
normal,109,baseline
normal,128,baseline
normal,91,baseline
normal,90,baseline
normal,100,baseline
normal,109,baseline
normal,76,baseline
normal,72,baseline
normal,70,baseline
normal,102,baseline
normal,86,baseline
normal,121,baseline
normal,95,baseline
normal,105,baseline
normal,103,baseline
normal,80,baseline
normal,111,baseline
normal,134,baseline
normal,83,baseline
normal,113,baseline
normal,102,baseline
normal,102,baseline
normal,148,baseline
normal,105,baseline
normal,80,baseline
normal,104,baseline
normal,108,baseline
normal,90,baseline
normal,112,baseline
normal,77,baseline
normal,113,baseline
normal,69,baseline
normal,106,baseline
normal,92,baseline
normal,91,baseline
normal,95,baseline
normal,60,baseline
normal,89,baseline
normal,118,baseline
normal,108,baseline
normal,99,baseline
normal,132,baseline
normal,86,baseline
normal,116,baseline
normal,97,baseline
normal,97,baseline
normal,83,baseline
normal,126,baseline
normal,96,baseline
normal,85,baseline
normal,99,baseline
normal,84,baseline
normal,86,baseline
normal,110,baseline
normal,112,baseline
normal,69,baseline
normal,131,baseline
normal,87,baseline
normal,72,baseline
normal,108,baseline
normal,64,baseline
normal,108,baseline
normal,118,baseline
normal,106,baseline
normal,111,baseline
normal,97,baseline
normal,108,baseline
normal,87,baseline
normal,103,baseline
normal,67,baseline
normal,103,baseline
normal,95,baseline
normal,84,baseline
normal,88,baseline
normal,101,baseline
normal,132,baseline
normal,121,baseline
normal,122,baseline
normal,107,baseline
normal,98,baseline
normal,103,baseline
normal,79,baseline
normal,91,baseline
normal,133,baseline
normal,107,baseline
normal,112,baseline
normal,86,baseline
normal,106,baseline
normal,117,baseline
normal,89,baseline
normal,79,baseline
normal,106,baseline
normal,65,baseline
normal,135,baseline
normal,116,baseline
normal,125,baseline
normal,95,baseline
normal,94,baseline
normal,73,baseline
normal,81,baseline
normal,96,baseline
normal,99,baseline
normal,114,baseline
normal,112,baseline
normal,81,baseline
normal,81,baseline
normal,113,baseline
normal,60,baseline
normal,101,baseline
normal,90,baseline
normal,106,baseline
normal,77,baseline
normal,95,baseline
normal,110,baseline
normal,106,baseline
normal,85,baseline
normal,44,baseline
normal,79,baseline
normal,128,baseline
normal,113,baseline
normal,115,baseline
normal,129,baseline
normal,93,baseline
normal,111,baseline
normal,92,baseline
normal,91,baseline
normal,67,baseline
normal,122,baseline
normal,109,baseline
normal,80,baseline
normal,100,baseline
normal,98,baseline
normal,131,baseline
normal,106,baseline
normal,120,baseline
normal,127,baseline
normal,139,baseline
normal,100,baseline
normal,53,baseline
normal,92,baseline
normal,97,baseline
normal,84,baseline
normal,92,baseline
normal,98,baseline
normal,131,baseline
normal,103,baseline
normal,97,baseline
normal,124,baseline
normal,110,baseline
normal,83,baseline
normal,82,baseline
normal,115,baseline
normal,89,baseline
normal,109,baseline
normal,113,baseline
normal,94,baseline
normal,95,baseline
normal,90,baseline
normal,83,baseline
normal,128,baseline
normal,68,baseline
normal,85,baseline
normal,145,baseline
normal,93,baseline
normal,88,baseline
normal,92,baseline
normal,95,baseline
normal,102,baseline
normal,109,baseline
normal,84,baseline
normal,93,baseline
normal,113,baseline
normal,133,baseline
normal,97,baseline
normal,111,baseline
normal,118,baseline
normal,63,baseline
normal,79,baseline
normal,88,baseline
normal,76,baseline
normal,142,baseline
normal,117,baseline
normal,120,baseline
normal,99,baseline
normal,136,baseline
normal,110,baseline
normal,103,baseline
normal,91,baseline
normal,77,baseline
normal,98,baseline
normal,111,baseline
normal,99,baseline
normal,70,baseline
normal,119,baseline
normal,86,baseline
normal,85,baseline
normal,102,baseline
normal,101,baseline
normal,94,baseline
normal,93,baseline
normal,73,baseline
normal,80,baseline
normal,92,baseline
normal,103,baseline
normal,90,baseline
normal,134,baseline
normal,83,baseline
normal,135,baseline
normal,125,baseline
normal,87,baseline
normal,76,baseline
normal,81,baseline
normal,101,baseline
normal,84,baseline
normal,58,baseline
normal,137,baseline
normal,81,baseline
normal,82,baseline
normal,113,baseline
normal,111,baseline
normal,73,baseline
normal,121,baseline
normal,102,baseline
normal,90,baseline
normal,73,baseline
normal,68,baseline
normal,81,baseline
normal,93,baseline
normal,77,baseline
normal,93,baseline
normal,111,baseline
normal,133,baseline
normal,91,baseline
normal,85,baseline
normal,129,baseline
normal,97,baseline
normal,104,baseline
normal,116,baseline
normal,95,baseline
normal,113,baseline
normal,81,baseline
normal,83,baseline
normal,68,baseline
normal,70,baseline
normal,96,baseline
normal,117,baseline
normal,89,baseline
normal,100,baseline
normal,116,baseline
normal,82,baseline
normal,88,baseline
normal,115,baseline
normal,95,baseline
normal,119,baseline
normal,84,baseline
normal,106,baseline
normal,113,baseline
normal,61,baseline
normal,82,baseline
normal,61,baseline
normal,83,baseline
normal,137,baseline
normal,126,baseline
normal,94,baseline
normal,59,baseline
normal,89,baseline
normal,114,baseline
normal,93,baseline
normal,94,baseline
normal,118,baseline
normal,114,baseline
normal,96,baseline
normal,119,baseline
normal,68,baseline
normal,100,baseline
normal,90,baseline
normal,83,baseline
normal,82,baseline
normal,103,baseline
normal,133,baseline
normal,80,baseline
normal,124,baseline
normal,102,baseline
normal,92,baseline
normal,72,baseline
normal,82,baseline
normal,82,baseline
normal,87,baseline
normal,122,baseline
normal,78,baseline
normal,127,baseline
normal,79,baseline
normal,81,baseline
normal,94,baseline
normal,77,baseline
normal,93,baseline
normal,126,baseline
normal,91,baseline
normal,78,baseline
normal,80,baseline
normal,107,baseline
normal,107,baseline
normal,74,baseline
normal,123,baseline
normal,108,baseline
normal,111,baseline
normal,71,baseline
normal,105,baseline
normal,106,baseline
normal,79,baseline
normal,114,baseline
normal,85,baseline
normal,108,baseline
normal,98,baseline
normal,100,baseline
normal,114,baseline
normal,113,baseline
normal,104,baseline
normal,93,baseline
normal,102,baseline
normal,105,baseline
normal,92,baseline
normal,102,baseline
normal,133,baseline
normal,111,baseline
normal,81,baseline
normal,118,baseline
normal,102,baseline
normal,104,baseline
normal,127,baseline
normal,92,baseline
normal,98,baseline
normal,71,baseline
normal,105,baseline
normal,83,baseline
normal,140,baseline
normal,120,baseline
normal,89,baseline
normal,76,baseline
normal,104,baseline
normal,96,baseline
normal,102,baseline
normal,128,baseline
normal,115,baseline
normal,112,baseline
normal,75,baseline
normal,64,baseline
normal,101,baseline
normal,116,baseline
normal,102,baseline
normal,95,baseline
normal,88,baseline
normal,90,baseline
normal,142,baseline
normal,95,baseline
normal,90,baseline
normal,113,baseline
normal,83,baseline
normal,96,baseline
normal,117,baseline
normal,111,baseline
normal,123,baseline
normal,123,baseline
normal,88,baseline
normal,137,baseline
normal,137,baseline
normal,112,baseline
normal,61,baseline
normal,106,baseline
normal,108,baseline
normal,77,baseline
normal,131,baseline
normal,95,baseline
normal,117,baseline
normal,109,baseline
normal,64,baseline
normal,76,baseline
normal,78,baseline
normal,99,baseline
normal,102,baseline
normal,101,baseline
normal,126,baseline
normal,108,baseline
normal,66,baseline
normal,87,baseline
normal,112,baseline
normal,97,baseline
normal,105,baseline
normal,116,baseline
normal,94,baseline
normal,94,baseline
normal,68,baseline
normal,102,baseline
normal,77,baseline
normal,116,baseline
normal,115,baseline
normal,71,baseline
normal,93,baseline
normal,100,baseline
normal,132,baseline
normal,123,baseline
normal,92,baseline
normal,96,baseline
normal,94,baseline
normal,115,baseline
normal,67,baseline
normal,96,baseline
normal,109,baseline
normal,103,baseline
normal,107,baseline
normal,92,baseline
normal,98,baseline
normal,105,baseline
normal,42,baseline
normal,131,baseline
normal,142,baseline
normal,110,baseline
normal,83,baseline
normal,97,baseline
normal,109,baseline
normal,126,baseline
normal,114,baseline
normal,122,baseline
normal,103,baseline
normal,102,baseline
normal,111,baseline
normal,91,baseline
normal,125,baseline
normal,98,baseline
normal,139,baseline
normal,106,baseline
normal,113,baseline
normal,108,baseline
normal,90,baseline
normal,93,baseline
normal,57,baseline
normal,99,baseline
normal,72,baseline
normal,117,baseline
normal,115,baseline
normal,88,baseline
normal,101,baseline
normal,109,baseline
normal,78,baseline
normal,100,baseline
normal,99,baseline
normal,99,baseline
normal,113,baseline
normal,120,baseline
normal,107,baseline
normal,140,baseline
normal,92,baseline
normal,77,baseline
normal,102,baseline
normal,68,baseline
normal,125,baseline
normal,107,baseline
normal,125,baseline
normal,111,baseline
normal,85,baseline
normal,86,baseline
normal,117,baseline
normal,101,baseline
normal,119,baseline
normal,119,baseline
normal,102,baseline
normal,107,baseline
normal,132,baseline
normal,59,baseline
normal,100,baseline
normal,100,baseline
normal,90,baseline
normal,114,baseline
normal,69,baseline
normal,114,baseline
normal,103,baseline
normal,133,baseline
normal,62,baseline
normal,62,baseline
normal,109,baseline
normal,165,baseline
normal,109,baseline
normal,111,baseline
normal,109,baseline
normal,95,baseline
normal,100,baseline
normal,96,baseline
normal,80,baseline
normal,119,baseline
normal,94,baseline
normal,106,baseline
normal,83,baseline
normal,84,baseline
normal,115,baseline
normal,75,baseline
normal,94,baseline
normal,125,baseline
normal,127,baseline
normal,124,baseline
normal,129,baseline
normal,73,baseline
normal,95,baseline
normal,117,baseline
normal,132,baseline
normal,96,baseline
normal,83,baseline
normal,104,baseline
normal,79,baseline
normal,99,baseline
normal,80,baseline
normal,88,baseline
normal,69,baseline
normal,89,baseline
normal,101,baseline
normal,111,baseline
normal,110,baseline
normal,79,baseline
normal,109,baseline
normal,104,baseline
normal,98,baseline
normal,85,baseline
normal,119,baseline
normal,99,baseline
normal,90,baseline
normal,76,baseline
normal,158,baseline
normal,119,baseline
normal,119,baseline
normal,112,baseline
normal,100,baseline
normal,123,baseline
normal,117,baseline
normal,101,baseline
normal,75,baseline
normal,97,baseline
normal,103,baseline
normal,124,baseline
normal,128,baseline
normal,106,baseline
normal,94,baseline
normal,64,baseline
normal,71,baseline
normal,88,baseline
normal,106,baseline
normal,85,baseline
normal,91,baseline
normal,79,baseline
normal,93,baseline
normal,87,baseline
normal,84,baseline
normal,53,baseline
normal,85,baseline
normal,84,baseline
normal,143,baseline
normal,114,baseline
normal,58,baseline
normal,80,baseline
normal,104,baseline
normal,92,baseline
normal,104,baseline
normal,100,baseline
normal,117,baseline
normal,128,baseline
normal,119,baseline
normal,89,baseline
normal,145,baseline
normal,90,baseline
normal,105,baseline
normal,112,baseline
normal,115,baseline
normal,117,baseline
normal,68,baseline
normal,59,baseline
normal,78,baseline
normal,96,baseline
normal,100,baseline
normal,119,baseline
normal,106,baseline
normal,103,baseline
normal,89,baseline
normal,115,baseline
normal,79,baseline
normal,79,baseline
normal,107,baseline
normal,131,baseline
normal,81,baseline
normal,85,baseline
normal,64,baseline
normal,119,baseline
normal,121,baseline
normal,104,baseline
normal,113,baseline
normal,135,baseline
normal,113,baseline
normal,112,baseline
normal,71,baseline
normal,90,baseline
normal,109,baseline
normal,118,baseline
normal,117,baseline
normal,110,baseline
normal,132,baseline
normal,121,baseline
normal,84,baseline
normal,60,baseline
normal,93,baseline
normal,70,baseline
normal,79,baseline
normal,57,baseline
normal,113,baseline
normal,120,baseline
normal,131,baseline
normal,117,baseline
normal,107,baseline
normal,107,baseline
normal,93,baseline
normal,89,baseline
normal,89,baseline
normal,109,baseline
normal,115,baseline
normal,121,baseline
normal,94,baseline
normal,84,baseline
normal,92,baseline
normal,110,baseline
normal,101,baseline
normal,85,baseline
normal,93,baseline
normal,98,baseline
normal,80,baseline
normal,108,baseline
normal,101,baseline
normal,105,baseline
normal,98,baseline
normal,86,baseline
normal,84,baseline
normal,105,baseline
normal,99,baseline
normal,110,baseline
normal,90,baseline
normal,143,baseline
normal,119,baseline
normal,88,baseline
normal,78,baseline
normal,80,baseline
normal,119,baseline
normal,124,baseline
normal,95,baseline
normal,109,baseline
normal,81,baseline
normal,118,baseline
normal,112,baseline
normal,71,baseline
normal,116,baseline
normal,124,baseline
normal,110,baseline
normal,110,baseline
normal,107,baseline
normal,82,baseline
normal,101,baseline
normal,105,baseline
normal,87,baseline
normal,86,baseline
normal,112,baseline
normal,81,baseline
normal,98,baseline
normal,96,baseline
normal,84,baseline
normal,59,baseline
normal,73,baseline
normal,84,baseline
normal,85,baseline
normal,130,baseline
normal,98,baseline
normal,122,baseline
normal,92,baseline
normal,131,baseline
normal,96,baseline
normal,92,baseline
normal,117,baseline
normal,103,baseline
normal,110,baseline
normal,102,baseline
normal,112,baseline
normal,122,baseline
normal,81,baseline
normal,91,baseline
normal,89,baseline
normal,89,baseline
normal,116,baseline
normal,90,baseline
normal,102,baseline
normal,110,baseline
normal,117,baseline
normal,107,baseline
normal,104,baseline
normal,95,baseline
normal,101,baseline
normal,104,baseline
normal,94,baseline
normal,116,baseline
normal,69,baseline
normal,126,baseline
normal,102,baseline
normal,104,baseline
normal,104,baseline
normal,88,baseline
normal,98,baseline
normal,87,baseline
normal,107,baseline
normal,60,baseline
normal,90,baseline
normal,112,baseline
normal,89,baseline
normal,107,baseline
normal,91,baseline
normal,115,baseline
normal,115,baseline
normal,103,baseline
normal,97,baseline
normal,111,baseline
normal,110,baseline
normal,99,baseline
normal,70,baseline
normal,107,baseline
normal,133,baseline
normal,98,baseline
normal,121,baseline
normal,114,baseline
normal,101,baseline
normal,159,baseline
normal,75,baseline
normal,98,baseline
normal,96,baseline
normal,91,baseline
normal,71,baseline
normal,127,baseline
normal,100,baseline
normal,111,baseline
normal,103,baseline
normal,81,baseline
normal,104,baseline
normal,125,baseline
normal,111,baseline
normal,99,baseline
normal,105,baseline
normal,84,baseline
normal,102,baseline
normal,71,baseline
normal,97,baseline
normal,71,baseline
normal,99,baseline
normal,102,baseline
normal,55,baseline
normal,115,baseline
normal,111,baseline
normal,87,baseline
normal,153,baseline
normal,106,baseline
normal,122,baseline
normal,85,baseline
normal,126,baseline
normal,120,baseline
normal,81,baseline
normal,109,baseline
normal,103,baseline
normal,135,baseline
normal,72,baseline
normal,99,baseline
normal,103,baseline
normal,95,baseline
normal,87,baseline
normal,110,baseline
normal,93,baseline
normal,93,baseline
normal,66,baseline
normal,67,baseline
normal,100,baseline
normal,97,baseline
normal,118,baseline
normal,121,baseline
normal,74,baseline
normal,101,baseline
normal,81,baseline
normal,92,baseline
normal,126,baseline
normal,98,baseline
normal,76,baseline
normal,104,baseline
normal,90,baseline
normal,91,baseline
normal,108,baseline
normal,108,baseline
normal,82,baseline
normal,104,baseline
normal,125,baseline
normal,121,baseline
normal,82,baseline
normal,134,baseline
normal,85,baseline
normal,98,baseline
normal,82,baseline
normal,65,baseline
normal,100,baseline
normal,107,baseline
normal,103,baseline
normal,89,baseline
normal,71,baseline
normal,91,baseline
normal,122,baseline
normal,82,baseline
normal,95,baseline
normal,73,baseline
normal,119,baseline
normal,82,baseline
normal,91,baseline
normal,118,baseline
normal,134,baseline
normal,87,baseline
normal,73,baseline
normal,96,baseline
normal,87,baseline
normal,110,baseline
normal,66,baseline
normal,102,baseline
normal,129,baseline
normal,58,baseline
normal,125,baseline
normal,106,baseline
normal,121,baseline
normal,116,baseline
normal,84,baseline
normal,98,baseline
normal,94,baseline
normal,134,baseline
normal,101,baseline
normal,126,baseline
normal,112,baseline
normal,111,baseline
normal,82,baseline
normal,94,baseline
normal,127,baseline
normal,139,baseline
normal,104,baseline
normal,96,baseline
normal,77,baseline
normal,95,baseline
normal,93,baseline
normal,81,baseline
normal,69,baseline
normal,96,baseline
normal,95,baseline
normal,84,baseline
normal,101,baseline
normal,105,baseline
normal,90,baseline
normal,118,baseline
normal,89,baseline
normal,77,baseline
normal,104,baseline
normal,110,baseline
normal,113,baseline
normal,98,baseline
normal,86,baseline
normal,98,baseline
normal,111,baseline
normal,145,baseline
normal,99,baseline
normal,94,baseline
normal,93,baseline
normal,88,baseline
normal,89,baseline
normal,129,baseline
normal,124,baseline
normal,143,baseline
normal,102,baseline
normal,92,baseline
normal,86,baseline
normal,105,baseline
normal,74,baseline
normal,90,baseline
normal,101,baseline
normal,68,baseline
normal,63,baseline
normal,103,baseline
normal,74,baseline
normal,83,baseline
normal,99,baseline
normal,101,baseline
normal,94,baseline
normal,102,baseline
normal,82,baseline
normal,109,baseline
normal,80,baseline
normal,92,baseline
normal,65,baseline
normal,83,baseline
normal,112,baseline
normal,124,baseline
normal,97,baseline
normal,75,baseline
normal,129,baseline
normal,90,baseline
normal,41,baseline
normal,80,baseline
normal,110,baseline
normal,93,baseline
normal,109,baseline
normal,133,baseline
normal,93,baseline
normal,103,baseline
normal,101,baseline
normal,102,baseline
normal,127,baseline
normal,104,baseline
normal,62,baseline
normal,55,baseline
normal,99,baseline
normal,90,baseline
normal,102,baseline
normal,72,baseline
normal,88,baseline
normal,99,baseline
normal,90,baseline
normal,116,baseline
normal,147,baseline
normal,112,baseline
normal,122,baseline
normal,102,baseline
normal,106,baseline
normal,92,baseline
normal,94,baseline
normal,127,baseline
normal,136,baseline
normal,55,baseline
normal,95,baseline
normal,122,baseline
normal,131,baseline
normal,131,baseline
normal,103,baseline
normal,61,baseline
normal,118,baseline
normal,119,baseline
normal,109,baseline
normal,98,baseline
normal,128,baseline
normal,124,baseline
normal,128,baseline
normal,95,baseline
normal,122,baseline
normal,88,baseline
normal,83,baseline
normal,124,baseline
normal,128,baseline
normal,91,baseline
normal,94,baseline
normal,124,baseline
normal,119,baseline
normal,106,baseline
normal,118,baseline
normal,97,baseline
normal,110,baseline
normal,86,baseline
normal,111,baseline
normal,85,baseline
normal,98,baseline
normal,80,baseline
normal,111,baseline
normal,80,baseline
normal,112,baseline
normal,125,baseline
normal,102,baseline
normal,114,baseline
normal,120,baseline
normal,123,baseline
normal,97,baseline
normal,105,baseline
normal,42,baseline
normal,110,baseline
normal,119,baseline
normal,90,baseline
normal,86,baseline
normal,110,baseline
normal,77,baseline
normal,96,baseline
normal,117,baseline
normal,97,baseline
normal,91,baseline
normal,87,baseline
normal,86,baseline
normal,115,baseline
normal,134,baseline
normal,87,baseline
normal,68,baseline
normal,70,baseline
normal,70,baseline
normal,101,baseline
normal,85,baseline
normal,97,baseline
normal,114,baseline
normal,117,baseline
normal,119,baseline
normal,89,baseline
normal,77,baseline
normal,112,baseline
normal,115,baseline
normal,122,baseline
normal,90,baseline
normal,125,baseline
normal,98,baseline
normal,94,baseline
normal,116,baseline
normal,84,baseline
normal,100,baseline
normal,90,baseline
normal,120,baseline
normal,88,baseline
normal,95,baseline
normal,80,baseline
normal,115,baseline
normal,64,baseline
normal,51,baseline
normal,97,baseline
normal,82,baseline
normal,97,baseline
normal,117,baseline
normal,83,baseline
normal,102,baseline
normal,113,baseline
normal,109,baseline
normal,96,baseline
normal,109,baseline
normal,112,baseline
normal,114,baseline
normal,85,baseline
normal,96,baseline
normal,102,baseline
normal,89,baseline
normal,74,baseline
normal,108,baseline
normal,53,baseline
normal,110,baseline
normal,125,baseline
normal,103,baseline
normal,142,baseline
normal,93,baseline
normal,120,baseline
normal,116,baseline
normal,107,baseline
normal,110,baseline
normal,95,baseline
normal,106,baseline
normal,96,baseline
normal,99,baseline
normal,128,baseline
normal,82,baseline
normal,127,baseline
normal,123,baseline
normal,74,baseline
normal,104,baseline
normal,127,baseline
normal,97,baseline
normal,96,baseline
normal,146,baseline
normal,95,baseline
normal,73,baseline
normal,104,baseline
normal,108,baseline
normal,72,baseline
normal,79,baseline
normal,98,baseline
normal,74,baseline
normal,109,baseline
normal,105,baseline
normal,87,baseline
normal,99,baseline
normal,60,baseline
normal,80,baseline
normal,111,baseline
normal,101,baseline
normal,77,baseline
normal,134,baseline
normal,108,baseline
normal,140,baseline
normal,107,baseline
normal,94,baseline
normal,81,baseline
normal,83,baseline
normal,79,baseline
normal,72,baseline
normal,93,baseline
normal,75,baseline
normal,88,baseline
normal,115,baseline
normal,107,baseline
normal,92,baseline
normal,102,baseline
normal,97,baseline
normal,111,baseline
normal,93,baseline
normal,108,baseline
normal,111,baseline
normal,119,baseline
normal,59,baseline
normal,97,baseline
normal,94,baseline
normal,88,baseline
normal,118,baseline
normal,63,baseline
normal,108,baseline
normal,93,baseline
normal,43,baseline
normal,151,baseline
normal,118,baseline
normal,85,baseline
normal,83,baseline
normal,84,baseline
normal,118,baseline
normal,97,baseline
normal,123,baseline
normal,113,baseline
normal,140,baseline
normal,117,baseline
normal,73,baseline
normal,106,baseline
normal,86,baseline
normal,61,baseline
normal,130,baseline
normal,83,baseline
normal,111,baseline
normal,65,baseline
normal,88,baseline
normal,109,baseline
normal,51,baseline
normal,91,baseline
normal,106,baseline
normal,126,baseline
normal,97,baseline
normal,123,baseline
normal,83,baseline
normal,83,baseline
normal,70,baseline
normal,105,baseline
normal,125,baseline
normal,103,baseline
normal,99,baseline
normal,120,baseline
normal,96,baseline
normal,64,baseline
normal,73,baseline
normal,113,baseline
normal,143,baseline
normal,122,baseline
normal,112,baseline
normal,124,baseline
normal,94,baseline
normal,65,baseline
normal,45,baseline
normal,67,baseline
normal,101,baseline
normal,102,baseline
normal,116,baseline
normal,82,baseline
normal,103,baseline
normal,75,baseline
normal,76,baseline
normal,102,baseline
normal,105,baseline
normal,101,baseline
normal,74,baseline
normal,103,baseline
normal,121,baseline
normal,76,baseline
normal,95,baseline
normal,142,baseline
normal,94,baseline
normal,126,baseline
normal,122,baseline
normal,86,baseline
normal,127,baseline
normal,109,baseline
normal,69,baseline
normal,75,baseline
normal,103,baseline
normal,98,baseline
normal,68,baseline
normal,96,baseline
normal,91,baseline
normal,121,baseline
normal,106,baseline
normal,79,baseline
normal,97,baseline
normal,91,baseline
normal,103,baseline
normal,112,baseline
normal,135,baseline
normal,103,baseline
normal,119,baseline
normal,89,baseline
normal,71,baseline
normal,114,baseline
normal,129,baseline
normal,73,baseline
normal,112,baseline
normal,129,baseline
normal,101,baseline
normal,74,baseline
normal,94,baseline
normal,86,baseline
normal,98,baseline
normal,109,baseline
normal,75,baseline
normal,125,baseline
normal,116,baseline
normal,99,baseline
